Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
12/15/2025,Cash,$0.19,10/28/2025,12/15/2025,01/02/2026,USD
09/15/2025,Cash,$0.19,07/22/2025,09/15/2025,10/01/2025,USD
06/16/2025,Cash,$0.19,04/29/2025,06/16/2025,07/01/2025,USD
03/14/2025,Cash,$0.18,01/28/2025,03/14/2025,04/01/2025,USD
12/13/2024,Cash,$0.18,10/22/2024,12/13/2024,01/02/2025,USD
09/12/2024,Cash,$0.18,07/23/2024,09/12/2024,10/01/2024,USD
06/14/2024,Cash,$0.18,04/23/2024,06/14/2024,07/01/2024,USD
03/14/2024,Cash,$0.18,01/23/2024,03/15/2024,04/01/2024,USD
12/14/2023,Cash,$0.18,10/24/2023,12/15/2023,01/02/2024,USD
09/13/2023,Cash,$0.18,07/25/2023,09/14/2023,10/02/2023,USD
06/14/2023,Cash,$0.18,04/25/2023,06/15/2023,07/03/2023,USD
03/10/2023,Cash,$0.17,01/24/2023,03/13/2023,04/03/2023,USD
12/14/2022,Cash,$0.17,10/25/2022,12/15/2022,01/03/2023,USD
09/14/2022,Cash,$0.17,07/26/2022,09/15/2022,10/03/2022,USD
06/15/2022,Cash,$0.17,04/26/2022,06/16/2022,07/01/2022,USD
03/15/2022,Cash,$0.15,01/25/2022,03/16/2022,04/01/2022,USD
12/15/2021,Cash,$0.15,10/26/2021,12/16/2021,01/03/2022,USD
09/15/2021,Cash,$0.15,07/27/2021,09/16/2021,10/01/2021,USD
06/15/2021,Cash,$0.15,04/27/2021,06/16/2021,07/01/2021,USD
03/15/2021,Cash,$0.13,01/26/2021,03/16/2021,04/01/2021,USD
12/15/2020,Cash,$0.13,10/27/2020,12/16/2020,01/04/2021,USD
09/15/2020,Cash,$0.13,07/28/2020,09/16/2020,10/01/2020,USD
06/15/2020,Cash,$0.13,04/28/2020,06/16/2020,07/01/2020,USD
03/13/2020,Cash,$0.12,01/28/2020,03/16/2020,04/01/2020,USD
12/12/2019,Cash,$0.12,10/22/2019,12/13/2019,01/02/2020,USD
09/13/2019,Cash,$0.12,07/23/2019,09/16/2019,10/01/2019,USD
06/14/2019,Cash,$0.12,04/23/2019,06/17/2019,07/01/2019,USD
03/14/2019,Cash,$0.21,01/22/2019,03/15/2019,04/01/2019,USD
12/13/2018,Cash,$0.21,10/23/2018,12/14/2018,01/02/2019,USD
09/14/2018,Cash,$0.21,07/24/2018,09/17/2018,10/01/2018,USD
06/14/2018,Cash,$0.21,04/24/2018,06/15/2018,07/02/2018,USD
03/14/2018,Cash,$0.19,01/23/2018,03/15/2018,04/02/2018,USD
12/14/2017,Cash,$0.19,10/24/2017,12/15/2017,01/02/2018,USD
09/14/2017,Cash,$0.19,07/25/2017,09/15/2017,10/02/2017,USD
06/14/2017,Cash,$0.19,04/25/2017,06/16/2017,07/03/2017,USD
03/13/2017,Cash,$0.18,01/24/2017,03/15/2017,04/03/2017,USD
12/13/2016,Cash,$0.18,10/25/2016,12/15/2016,01/03/2017,USD
09/13/2016,Cash,$0.18,07/26/2016,09/15/2016,10/03/2016,USD
06/14/2016,Cash,$0.18,04/26/2016,06/16/2016,07/01/2016,USD
03/14/2016,Cash,$0.16,01/26/2016,03/16/2016,04/01/2016,USD
12/11/2015,Cash,$0.16,10/27/2015,12/15/2015,01/04/2016,USD
09/11/2015,Cash,$0.16,07/28/2015,09/15/2015,10/01/2015,USD
06/12/2015,Cash,$0.16,04/28/2015,06/16/2015,07/01/2015,USD
03/12/2015,Cash,$0.14,01/27/2015,03/16/2015,04/01/2015,USD
12/11/2014,Cash,$0.14,10/28/2014,12/15/2014,01/02/2015,USD
09/11/2014,Cash,$0.14,07/22/2014,09/15/2014,10/01/2014,USD
06/12/2014,Cash,$0.14,04/22/2014,06/16/2014,07/01/2014,USD
03/12/2014,Cash,$0.26,01/28/2014,03/14/2014,04/01/2014,USD
12/12/2013,Cash,$0.26,10/22/2013,12/16/2013,01/02/2014,USD
09/12/2013,Cash,$0.26,07/23/2013,09/16/2013,10/01/2013,USD
03/13/2013,Cash,$0.25,01/22/2013,03/15/2013,04/01/2013,USD
06/12/2003,Cash,$0.31,N/A,06/12/2003,N/A,USD
03/12/2003,Cash,$0.35,N/A,03/12/2003,N/A,USD
